lat,lon,name
51.39219,-0.30622,Surbiton
51.410883,-0.301689,Kingston - Clarence Street (91
51.411661,-0.303862,Kingston-Bentall Centre
51.427136,-0.330368,Teddington - High Street (70)
51.409618,-0.22841,"Raynes Park - Station Bldg (1,3,5)"
51.4458,-0.32881,Twickenham
51.37211,-0.2257,Sainsburys North Cheam
51.434199,-0.375842,Sainsbury-Hampton
51.42115,-0.20767,"Wimbledon Hill Road, 10"
51.4212,-0.20655,Wimbledon Station - Plat(7)  London
51.46365,-0.30215,Richmond-Kew Road
51.333094,-0.267743,Epsom - Ashley Center
51.44487,-0.2057,Southfields - Replingham Road
51.36439,-0.19363,Sutton - High Street
51.36325,-0.19315,Sutton - High Street (88-90)
51.413614,-0.177865,Tandem Centre 10 Colliers Wood
51.38514,-0.42199,Walton on Thames - Sainsbury's
51.4774,-0.28637,Kew - Station Parade
51.468807,-0.362602,Hounslow High Street (198) - London
51.35952,-0.1913,Sutton Station Plat (1)
51.462644,-0.21598,Putney - High Street
51.446798,-0.41086,"Feltham, The Longford Centre"
51.47547,-0.239388,Barnes
51.427569,-0.167328,"Tooting Broadway, Mitcham Road"
51.47271,-0.20081,Parsons Green
51.49455,-0.27501,Chiswick Park Unit 3 Building
51.49259,-0.25971,Chiswick High Road 280
51.47571,-0.20551,Fulham Road
51.483988,-0.219916,Fulham Palace Road (220) - Lon
51.32824,-0.41037,Cobham - High Street (23)
51.47364,-0.19191,Fulham Currys PC World Wandsworth
51.47376,-0.1918,Wandsworth Bridge Road 95-97
51.45946,-0.16665,Northcote Rd. Central London
51.492677,-0.228121,Kings Street Hammersmith 38
51.44394,-0.15022,Bedford Hill 41-43 Balham
51.49223,-0.22456,Hammersmith The Broadway Centr
51.37234,-0.45964,Weybridge - Church St
51.462463,-0.167448,Clapham-St John's Rd(37/39)-Lo
51.48039,-0.194381,Fulham Broadway Station
51.49278,-0.22439,Hammersmith Broadway
51.49319,-0.22154,Hammersmith Road
51.48103,-0.41927,Heathrow - White Heart London
51.481279,-0.420096,Sheraton Skyline Hotel London
51.51101,-0.30518,Ealing Green
51.48478,-0.18229,Fulham - Chelsea & Westminster
51.48913,-0.19068,Earls Court - Old Brompton Roa
51.513239,-0.301842,Ealing - Oak Road
51.45435,-0.1402,Clapham - Abbeville Road
51.48398,-0.17703,"Chelsea - Kings Road, 388-390"
51.493,-0.19443,Earls Court Road
51.514692,-0.301919,Ealing Broadway
51.50503,-0.22312,Shepherds Bush
51.50715,-0.22322,Westfield (Kiosk Unit 1018a)-L
51.507098,-0.222492,Westfield London (Unit 2122)
51.463764,-0.142022,Clapham - Old Town
51.462045,-0.138185,Clapham High Street
51.49978,-0.1961,"Kensington High Street, 197"
51.49449,-0.18238,"Kensington, Gloucester Road 83"
51.48843,-0.16617,"Chelsea - King's Road, 123A"
51.48019,-0.4467,Heathrow MarriottRenaissanceHotel-L
51.51331,-0.22786,White City - Vivacity
51.49796,-0.1836,"Kensington - Gloucester Road,"
51.49334,-0.1741,"South Kensington,Old Brompton"
51.50731,-0.20604,Holland Park Avenue
51.4716,-0.4594,Heathrow Airport T3 Airside London
51.50313,-0.19135,"Kensington - Church Street, 28"
51.50227,-0.18857,Kensington High Street
51.49201,-0.16554,Chelsea - Sloane Avenue
51.37527,-0.10202,Croydon-Centrale
51.50979,-0.19718,Pembridge Road
51.50929,-0.19581,"Notting Hill Gate, 64"
51.37567,-0.09996,"Croydon - Whitgift Square, Kio"
51.49048,-0.15285,Belgravia -  Pimlico Road
51.51683,-0.2059,Notting Hill - Portobello Road
51.47106,-0.47604,Heathrow Airport T5C Airside London
51.4626,-0.1149,"Brixton Station, Shop 5"
51.37466,-0.09278,Croydon - East Croydon Station
51.51207,-0.1879,Queensway
51.50049,-0.162597,Brompton Road 4a 44-48 Knights
51.51292,-0.18801,Bayswater -Whiteley's Internet
51.51528,-0.19385,Westbourne Grove
51.49921,-0.15704,Motcomb Street
51.49429,-0.14688,Victoria - Buckingham Palace R
51.493227,-0.142294,Victoria Station - (38) London
51.493228,-0.14136,Victoria - Wilton Road
51.496694,-0.146475,Victoria Station Plat (2) London
51.43421,-0.51094,Staines - High Street (68)
51.4706,-0.4887,Heathrow Airport T5 Airside London
51.485635,-0.123643,Lambeth Road  (2) Vauxhall - London
51.49699,-0.13881,Victoria Street
51.51732,-0.17752,Paddington Station
51.51942,-0.17948,Paddington Central Kiosk
51.4324,-0.52021,Staines - Sainsbury's
51.49464,-0.12933,Westminster - Horseferry Road
51.49896,-0.13554,Victoria-Palmer Street
51.49824,-0.13272,"Victoria Street, 27"
51.499105,-0.1335,Broadway (17) - London
51.51891,-0.16891,"Edgware Road, 207"
51.46373,-0.08346,Dulwich Sainsburys - Don Kenne
51.50735,-0.1424,"Berkeley Street W1, 52"
51.5088,-0.14408,"Berkeley Street W1, 27"
51.28684,-0.15535,Hooley - Brighton Road
51.51305,-0.15367,North Audley Street W1
51.50811,-0.1395,"Piccadilly W1, 171"
51.51453,-0.15282,Oxford Street W1 - Selfridges
51.51216,-0.14507,Grosvenor Street W1
51.5138,-0.14961,West One Centre (Unit G13) - L
51.5103,-0.13912,Vigo St (6a) - London
51.51568,-0.15386,"Wigmore Street (132), London"
51.50219,-0.1176,South Bank - County Hall
51.37629,-0.0183,West Wickham - High Street (71
51.5033,-0.11475,Waterloo Station - London
51.50358,-0.11408,Waterloo Station (43b) - Londo
51.507412,-0.12291,Embankment WC2
51.50795,-0.12387,Villiers Street WC2
51.51028,-0.1326,Trocadero W1
51.51341,-0.14698,South Molton Street W1
51.50885,-0.12543,"Strand WC2, 442"
51.51469,-0.15029,James Street W1
51.40556,0.01556,Bromley - Market Square
51.40323,0.01613,Bromley - Glades Shopping Ctr
51.40104,0.01682,Bromley High Street
51.50083,-0.09349,"Borough High Street, 19A"
51.506483,-0.099957,The Gallery - Bankside 1 (Unit R1)
51.50462,-0.089917,Borough High Street (55)- London
51.51052,-0.12708,St Martins Lane 99
51.504397,-0.087216,London Bridge - St. Thomas Street
51.504642,-0.085034,London Bridge (Kiosk)
51.50819,-0.10188,South Bank - Hopton Street
51.51122,-0.11989,Strand
51.51261,-0.13338,"Wardour Street W1, 60"
51.507091,-0.091536,South Bank - Clink Street
51.51304,-0.14092,Conduit Street (2-3) London
51.50808,-0.09608,South Bank - Globe
51.51235,-0.12164,Covent Garden WC2 - Russell St
51.50601,-0.08349,London Bridge - Hays Galleria
51.50382,-0.07513,South Bank - Shad Thames
51.482111,-0.009875,Greenwich - Cutty Sark
51.49489,-0.04648,Surrey Quays - Unit B 13-15 SK
51.50657,-0.07337,St Katharine's Guoman Hotel-London
51.507114,-0.072531,Docklands - St Katharine's Dock
51.50855,-0.07896,"East Building, Tower Place (3)"
51.50961,-0.07905,Byward Street
51.51084,-0.08557,Gracechurch Street EC3
